,mean_b,var_b,skew_b,kurt_b,entr_b,mean_g,var_g,skew_g,kurt_g,entr_g,mean_r,var_r,skew_r,kurt_r,entr_r,major_axis_length,minor_axis_length,area,perimeter,roundness,aspect_ratio,class,class_int
117,198.07363557609008,5831.108351986168,-2.1798323467008975,2.839571277984267,4.6839635778152795,192.8473866589662,5530.925741798806,-2.177325225649857,2.8325161476109333,4.702351811857244,228.824429685244,150.54757529559,1.0335281599198762,0.4646526744925774,4.620772432696486,223.41343688964844,41.900787353515625,7137.5,469.3208485841751,0.4072079898893873,5.331962738664462,bas,
118,206.6692272238439,5685.492217884919,-2.3496934931895046,3.6037286935637782,4.728365503070804,196.99662006452604,5193.370398777296,-2.3245570973482423,3.539384014900434,5.007306004172783,218.02780765094485,255.4825575073251,1.3172616593310438,0.7810666533580495,5.026494888789005,203.87184143066406,43.34590148925781,6687.0,439.18585181236267,0.4356568079815182,4.703370663110757,bas,
119,220.17685171550582,3815.1033133691176,-3.229948573127127,8.639435366871233,4.894756862579499,201.05625092033574,3250.387352694512,-3.106281307456057,8.16609726608561,5.302352971521157,219.1903990575762,223.01793756715566,0.9001238271319266,0.15743232922084482,5.388199743649899,195.8022918701172,52.222625732421875,6995.5,437.9238795042038,0.45838602650817706,3.7493766183525192,bas,
120,211.96505242136794,5754.312058746627,-2.402483593388824,3.87845771330005,4.861783990911125,191.55416874687967,4847.488703290546,-2.2554485874078414,3.5000424802537653,5.563405743821435,217.05504243634547,381.3031360815741,0.7428996509753023,-0.6349714478395274,5.5346661993424835,229.12440490722656,48.39393997192383,8227.0,494.13203060626984,0.4234141310397326,4.734568109977305,bas,
121,210.3358415841584,6043.005362245531,-2.297052450390115,3.3939244182110926,5.059051509056659,190.54125412541254,5023.710476314958,-2.2371002780082474,3.245050271555905,5.43099081106638,219.09465346534654,296.08886250367607,0.8149488157291156,-0.047996931352525696,5.408944036041915,229.380859375,44.553009033203125,7794.5,486.1492751836777,0.41443730435606274,5.148493095136491,bas,
122,211.29497112269334,6105.851293205957,-2.3096301525832836,3.409072164878552,4.746400299540593,193.68220876179743,5167.58657035732,-2.2756278574996407,3.325269803390043,5.067528280412254,224.57881391745318,208.88923138655937,0.9180156459390528,0.026897874906965935,5.087961211513107,206.49742126464844,46.76556396484375,7294.5,447.2619733810425,0.45822780815580083,4.4155871063563765,bas,
123,212.22893187552566,6961.729087252718,-2.138271734615713,2.6076988758840898,4.266756324559424,191.95912531539108,5758.401525223152,-2.088776943978181,2.4992489682282972,5.0930418646627,224.8632464255677,221.90375430512813,0.9755621388353061,-0.20389005458706366,5.002330175872622,185.54348754882812,42.550941467285156,6114.0,412.90158224105835,0.4506529353590657,4.360502521230495,bas,
124,210.373201299706,6194.485817494215,-2.274957526896709,3.2468029694165077,4.707440438123406,188.50580225901285,5033.712754512654,-2.218396449315775,3.113721316555772,5.1916700991489195,219.90221259477022,269.7264735200209,1.0348891486516503,0.124517318342944,5.180800209899676,205.9403533935547,43.668155670166016,6636.5,431.4284942150116,0.44805498368963165,4.716030485671569,bas,
125,204.43170568561874,5181.80332919766,-2.4512606707793045,4.122235762758167,4.9773214748421,194.74327759197325,4772.99643474234,-2.3798646822675615,3.9271301511425865,5.378843350333776,225.05752508361203,249.7184299951902,0.49786938547354287,-0.6916771547782834,5.377669946311773,219.79312133789062,47.15237808227539,7677.5,470.3746705055237,0.4360555665421457,4.661336930968303,bas,
126,207.2250716548499,5716.130667233515,-2.333319199516606,3.5726507431994214,5.0752991853808425,192.9093377583346,5031.6679004363805,-2.258000569880746,3.390474955371028,5.4161102201099665,220.90873434907226,305.8780787873268,0.6926035908480895,-0.5373824183491207,5.447785179791917,198.03781127929688,45.476009368896484,6807.5,434.80107605457306,0.45249761407258354,4.354775496522474,bas,
127,212.6547890154052,5578.532001512753,-2.4501965441083864,4.1446513483443725,5.055067408988671,194.8176825184193,4774.522286122917,-2.3566229420250275,3.890018922798814,5.600541823567134,220.36450100468855,310.4237364723701,0.5525122007034683,-0.46775187288236886,5.608215881671857,197.32489013671875,50.99736404418945,7662.0,446.5340518951416,0.48288403338291336,3.869315480026297,bas,
128,218.17991631799163,5811.037618707338,-2.4875717381191764,4.267544435888866,4.511340055824211,195.55432990997843,4842.678390976743,-2.3119494203166493,3.790816911191345,5.539993816490642,221.8022061620388,336.8053051366528,0.5226548297325583,-1.0123916241081172,5.497311809813739,227.17762756347656,48.02149200439453,8100.5,487.40410828590393,0.42849259335092177,4.730749047586592,bas,
129,209.67268351383873,4728.073369333049,-2.6652684473824775,5.293484574908847,5.001951996890442,192.42178098676294,4067.064880582599,-2.5593982233112476,4.969489587798435,5.4610354214010774,212.9941335740072,351.2149174502687,0.8898612544800684,0.04028844454216651,5.509618183614103,179.38186645507812,50.84272766113281,6835.5,408.89444231987,0.5137569811510587,3.5281715735367247,bas,
130,215.08561382051673,5936.737816275877,-2.4006018624975156,3.8636440663612337,4.777527881791107,191.65708607246597,4877.05852989765,-2.241543623650105,3.4472427357679516,5.687645956798267,219.6252866534169,349.3102855201842,0.5774058821017437,-0.7521464916460858,5.616753928226054,202.72897338867188,44.97909927368164,6729.0,435.16146898269653,0.44653913220168295,4.5071817057771435,bas,
131,209.31169557918298,5498.302118389701,-2.4189196344422763,4.007469776952187,5.030407866998226,197.13276440962508,4960.098070309915,-2.339730470929695,3.791459520443097,5.534321456491249,220.0036373810856,315.4252805579311,0.5628948765374586,-0.29308395682539734,5.566711073320125,199.98779296875,48.675071716308594,7321.5,438.0559116601944,0.4794582981543168,4.10862862481914,bas,
132,214.45652785593697,5701.6659492272765,-2.4517390759373288,4.125080179773852,4.821623051718925,194.22974113674732,4779.453831277953,-2.346572433162224,3.8467439202079774,5.392162606657265,223.01617895329207,277.18952439791383,0.6825277036470105,-0.7030157923811107,5.3063643723623635,194.68092346191406,49.91749954223633,7292.0,427.98989510536194,0.5002527597937102,3.9000535933734044,bas,
133,214.48575631937942,5440.878123986628,-2.5374990296820323,4.5239712840564845,4.613155482332931,203.4274441620971,4952.892054093612,-2.4794060838288754,4.357766180256984,5.1539583182880815,223.93112210779725,211.34512877965972,0.757677036406666,0.10219571891074875,5.196528845265567,235.69589233398438,46.06472396850586,7671.0,468.7005707025528,0.4388043074559222,5.116624436849509,bas,
